target,prediction,position,log_return,strategy_return,equity_curve
0,0,1.0,-0.0007579808876849633,-0.0007579808876849633,0.9915690622138444
1,0,0.0,0.0010826540439682574,0.0,0.9915690622138444
0,0,0.0,-0.0008660294436876575,-0.0,0.9915690622138444
0,0,0.0,0.00032484893916864664,0.0,0.9915690622138444
0,0,0.0,0.0005411805045190535,0.0,0.9915690622138444
1,0,0.0,0.001081483171724706,0.0,0.9915690622138444
1,0,0.0,-0.003790319221338934,-0.0,0.9915690622138444
0,0,0.0,-0.001085592346616409,-0.0,0.9915690622138444
0,0,0.0,0.0018448063837818273,0.0,0.9915690622138444
1,0,0.0,0.0008669679684807149,0.0,0.9915690622138444
0,0,0.0,-0.0005417668918930191,-0.0,0.9915690622138444
1,0,0.0,0.00032509535522699194,0.0,0.9915690622138444
0,0,0.0,-0.0019521593284525895,-0.0,0.9915690622138444
1,1,0.0,0.0005426488594725746,0.0,0.9915690622138444
0,0,1.0,-0.00021702420893358364,-0.00021702420893358364,0.9913538910720324
1,0,0.0,0.00021702420893354087,0.0,0.9913538910720324
1,1,0.0,-0.0018462088126871739,-0.0,0.9913538910720324
0,0,1.0,-0.0016318431781240706,-0.0016318431781240706,0.9897374762142567
0,0,0.0,0.0007618582130629967,0.0,0.9897374762142567
1,0,0.0,0.00021756720847552013,0.0,0.9897374762142567
1,0,0.0,-0.000544006800988391,-0.0,0.9897374762142567
0,0,0.0,-0.00021768561160336153,-0.0,0.9897374762142567
1,1,0.0,0.0013054034310810906,0.0,0.9897374762142567
1,0,1.0,-0.005013327509115069,-0.005013327509115069,0.9847880150991476
0,0,0.0,-0.002187571539593177,-0.0,0.9847880150991476
0,0,0.0,0.0,0.0,0.9847880150991476
0,0,0.0,0.001203756505297491,0.0,0.9847880150991476
0,0,0.0,0.0003280459000763493,0.0,0.9847880150991476
1,1,0.0,0.0013111085170839074,0.0,0.9847880150991476
0,0,1.0,-0.0005460863237583533,-0.0005460863237583533,0.9842503826425274
0,0,0.0,0.0006552678123946449,0.0,0.9842503826425274
0,1,0.0,0.00021832722198647243,0.0,0.9842503826425274
0,0,1.0,0.0005456096038381598,0.0005456096038381598,0.9847875456311956
1,0,0.0,0.002723591584824924,0.0,0.9847875456311956
0,0,0.0,-0.000544125204116027,-0.0,0.9847875456311956
0,1,0.0,0.000761692412591762,0.0,0.9847875456311956
0,0,1.0,0.004124808574918804,0.004124808574918804,0.9888579948846481
1,0,0.0,0.0007579808876850034,0.0,0.9888579948846481
1,1,0.0,-0.0018418083419444284,-0.0,0.9888579948846481
1,1,1.0,-0.0007593787603201909,-0.0007593787603201909,0.9881073621697015
1,1,1.0,-0.00010852976933791984,-0.00010852976933791984,0.9880001289247091
1,1,1.0,-0.0016293615725118252,-0.0016293615725118252,0.9863916302498237
0,0,1.0,-0.0016320207249559445,-0.0016320207249559445,0.9847831315749381
0,0,0.0,0.0003266172938747412,0.0,0.9847831315749381
0,0,0.0,0.0016314882003266625,0.0,0.9847831315749381
1,1,0.0,0.00021733078821022266,0.0,0.9847831315749381
0,1,1.0,-0.0007608644915372651,-0.0007608644915372651,0.9840341300387284
1,0,1.0,0.0,0.0,0.9840341300387284
0,0,0.0,-0.0008702688853963307,-0.0,0.9840341300387284
1,1,0.0,0.000326439592512673,0.0,0.9840341300387284
0,1,1.0,-0.0010885466416653098,-0.0010885466416653098,0.9829635457873507
0,0,1.0,0.00021780414367426117,0.00021780414367426117,0.9831776626376261
0,0,0.0,0.0010883097064666102,0.0,0.9831776626376261
0,0,0.0,0.0014130342226562926,0.0,0.9831776626376261
1,0,0.0,0.002928398952542962,0.0,0.9831776626376261
1,0,0.0,-0.00021662460028048795,-0.0,0.9831776626376261
1,0,0.0,-0.00086696796848073,-0.0,0.9831776626376261
0,0,0.0,-0.0013018628966377731,-0.0,0.9831776626376261
1,0,0.0,0.00021709488120110715,0.0,0.9831776626376261
1,0,0.0,-0.0027170793919895375,-0.0,0.9831776626376261
1,0,0.0,-0.0007621070491525405,-0.0,0.9831776626376261
0,0,0.0,-0.0008716912713448269,-0.0,0.9831776626376261
1,0,0.0,0.0014161127088938674,0.0,0.9831776626376261
1,0,0.0,-0.0007622730302033953,-0.0,0.9831776626376261
0,0,0.0,-0.0008718812741806389,-0.0,0.9831776626376261
1,0,0.0,0.0016341543043841718,0.0,0.9831776626376261
0,0,0.0,-0.0027250759845469756,-0.0,0.9831776626376261
0,0,0.0,0.0,0.0,0.9831776626376261
0,1,0.0,0.0,0.0,0.9831776626376261
0,0,1.0,0.0005456096038381598,0.0005456096038381598,0.9837142401802594
1,0,0.0,0.0018528490868340065,0.0,0.9837142401802594
0,0,0.0,-0.001089495415019085,-0.0,0.9837142401802594
0,0,0.0,0.0,0.0,0.9837142401802594
0,0,0.0,0.0003269732776350904,0.0,0.9837142401802594
0,0,0.0,0.00021792280489966198,0.0,0.9837142401802594
0,0,0.0,0.0003267951888101447,0.0,0.9837142401802594
0,0,0.0,0.0,0.0,0.9837142401802594
0,1,0.0,0.0007621070491526319,0.0,0.9837142401802594
1,0,1.0,0.001413802588723339,0.001413802588723339,0.9851060015256614
0,1,0.0,-0.000326084769245605,-0.0,0.9851060015256614
1,1,1.0,0.0014122666913107742,0.0014122666913107742,0.9864982167772425
1,0,1.0,-0.00021714202162279131,-0.00021714202162279131,0.9862840298154607
0,1,0.0,-0.0008690399004423934,-0.0,0.9862840298154607
0,1,1.0,0.004337666831151996,0.004337666831151996,0.9905714934094871
1,1,1.0,0.0016217864713852516,0.0016217864713852516,0.992179292257247
0,0,1.0,-0.0010808986847986907,-0.0010808986847986907,0.9911074263587404
1,1,0.0,0.004316602317750174,0.0,0.9911074263587404
1,1,1.0,-0.00032309962962125295,-0.00032309962962125295,0.9907872516433204
1,0,1.0,-0.0007543053579363684,-0.0007543053579363684,0.9900401773073403
0,0,0.0,-0.0003234479827023712,-0.0,0.9900401773073403
1,0,0.0,0.0006467913806338771,0.0,0.9900401773073403
0,0,0.0,-0.00032334339793157,-0.0,0.9900401773073403
1,1,0.0,0.0021536504228032013,0.0,0.9900401773073403
0,1,1.0,-0.0035560145517377823,-0.0035560145517377823,0.986525832264397
1,1,1.0,0.0,0.0,0.986525832264397
0,0,1.0,-0.0002159229868172625,-0.0002159229868172625,0.9863128416557339
0,1,0.0,0.0,0.0,0.9863128416557339
0,0,1.0,0.0007555265674325093,0.0007555265674325093,0.9870583087860549
1,1,0.0,0.0016170659062554396,0.0,0.9870583087860549
0,1,1.0,-0.0010777533406387423,-0.0010777533406387423,0.9859950764503731
1,0,1.0,0.000539021864345214,0.000539021864345214,0.986526692618214
0,0,0.0,-0.0023738725270368286,-0.0,0.986526692618214
1,0,0.0,0.0005400115296422457,0.0,0.986526692618214
1,0,0.0,-0.00108031482930279,-0.0,0.986526692618214
1,0,0.0,-0.0005405953851381253,-0.0,0.986526692618214
1,0,0.0,-0.0005408877865866154,-0.0,0.986526692618214
0,0,0.0,-0.0010826540439681915,-0.0,0.986526692618214
0,0,0.0,0.001299044267020023,0.0,0.986526692618214
0,0,0.0,0.0003244975635347866,0.0,0.986526692618214
0,1,0.0,0.00021627322452314433,0.0,0.986526692618214
1,1,1.0,0.0014046369899178765,0.0014046369899178765,0.9879133781691212
0,0,1.0,-0.005196188028913261,-0.005196188028913261,0.982793308442695
0,0,0.0,0.0008679085296582555,0.0,0.982793308442695
1,0,0.0,0.0010838274542593388,0.0,0.982793308442695
0,0,0.0,-0.00086696796848073,-0.0,0.982793308442695
1,0,0.0,0.0,0.0,0.982793308442695
1,1,0.0,-0.002062066346073573,-0.0,0.982793308442695
1,0,1.0,-0.00010864768441919191,-0.00010864768441919191,0.982686536025863
0,0,0.0,-0.0005434155574558404,-0.0,0.982686536025863
0,1,0.0,0.001086535974820162,0.0,0.982686536025863
0,1,1.0,0.0,0.0,0.982686536025863
0,1,1.0,0.0003257307164906977,0.0003257307164906977,0.9830066793527554
